# driver=ppo_car_009_bc_s7_deterministic hz=14.08 rows=8824 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_s7_deterministic,seed1001,0.02467,9.85609
ppo_car_009_bc_s7_deterministic,seed1001,0.02467,9.85988
ppo_car_009_bc_s7_deterministic,seed1001,-0.10761,9.86749
ppo_car_009_bc_s7_deterministic,seed1001,-0.09183,9.883
ppo_car_009_bc_s7_deterministic,seed1001,-0.09183,9.88905
ppo_car_009_bc_s7_deterministic,seed1001,-0.09702,9.89185
ppo_car_009_bc_s7_deterministic,seed1001,-0.11177,9.89076
ppo_car_009_bc_s7_deterministic,seed1001,-0.12275,9.88589
ppo_car_009_bc_s7_deterministic,seed1001,-0.1317,9.87993
ppo_car_009_bc_s7_deterministic,seed1001,-0.13674,9.87071
ppo_car_009_bc_s7_deterministic,seed1001,-0.14251,9.8633
ppo_car_009_bc_s7_deterministic,seed1001,-0.14896,9.85254
ppo_car_009_bc_s7_deterministic,seed1001,-0.14896,9.84379
ppo_car_009_bc_s7_deterministic,seed1001,-0.14993,9.83177
ppo_car_009_bc_s7_deterministic,seed1001,-0.14701,9.81955
ppo_car_009_bc_s7_deterministic,seed1001,-0.14227,9.81067
ppo_car_009_bc_s7_deterministic,seed1001,-0.29109,9.79484
ppo_car_009_bc_s7_deterministic,seed1001,-0.29505,9.77025
ppo_car_009_bc_s7_deterministic,seed1001,-0.2713,9.74062
ppo_car_009_bc_s7_deterministic,seed1001,-0.34469,9.72246
ppo_car_009_bc_s7_deterministic,seed1001,-0.40729,9.66818
ppo_car_009_bc_s7_deterministic,seed1001,-0.40729,9.63199
ppo_car_009_bc_s7_deterministic,seed1001,-0.35479,9.59346
ppo_car_009_bc_s7_deterministic,seed1001,-0.33547,9.55733
ppo_car_009_bc_s7_deterministic,seed1001,-0.33149,9.53058
ppo_car_009_bc_s7_deterministic,seed1001,-0.32714,9.50115
ppo_car_009_bc_s7_deterministic,seed1001,-0.31908,9.48355
ppo_car_009_bc_s7_deterministic,seed1001,-0.3964,9.46107
ppo_car_009_bc_s7_deterministic,seed1001,-0.42501,9.43095
ppo_car_009_bc_s7_deterministic,seed1001,-0.42501,9.39471
