# driver=ppo_car_009_bc_deterministic hz=14.08 rows=8788 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_deterministic,seed1001,-0.09832,9.73294
ppo_car_009_bc_deterministic,seed1001,-0.09832,9.73464
ppo_car_009_bc_deterministic,seed1001,0.05232,9.74288
ppo_car_009_bc_deterministic,seed1001,0.15157,9.7549
ppo_car_009_bc_deterministic,seed1001,0.13074,9.78311
ppo_car_009_bc_deterministic,seed1001,0.11779,9.80037
ppo_car_009_bc_deterministic,seed1001,0.12118,9.815
ppo_car_009_bc_deterministic,seed1001,0.12124,9.82128
ppo_car_009_bc_deterministic,seed1001,0.11531,9.82522
ppo_car_009_bc_deterministic,seed1001,0.16029,9.82618
ppo_car_009_bc_deterministic,seed1001,0.16029,9.82196
ppo_car_009_bc_deterministic,seed1001,0.13448,9.81571
ppo_car_009_bc_deterministic,seed1001,0.1142,9.81178
ppo_car_009_bc_deterministic,seed1001,0.10019,9.80826
ppo_car_009_bc_deterministic,seed1001,0.08386,9.80717
ppo_car_009_bc_deterministic,seed1001,0.06363,9.80837
ppo_car_009_bc_deterministic,seed1001,0.03798,9.81142
ppo_car_009_bc_deterministic,seed1001,-0.02646,9.81886
ppo_car_009_bc_deterministic,seed1001,-0.06284,9.83276
ppo_car_009_bc_deterministic,seed1001,-0.06284,9.84925
ppo_car_009_bc_deterministic,seed1001,-0.06352,9.87039
ppo_car_009_bc_deterministic,seed1001,-0.07933,9.88074
ppo_car_009_bc_deterministic,seed1001,-0.10465,9.88803
ppo_car_009_bc_deterministic,seed1001,-0.11467,9.88903
