t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,traction,x,y,z,yaw_deg,source
1.4800,0.00000,1.0000,0.0000,2.95027,2.95027,4.46304,0.0,1.0000,0.0000,0.0000,0.4742,2.7355,0.000,unity
1.5000,0.00000,1.0000,0.0000,2.96359,2.96359,3.76701,137.6,1.0000,0.2621,0.0000,0.4742,2.7948,0.000,unity
1.5200,0.00000,1.0000,0.0000,2.97419,2.97419,4.47395,0.0,1.0000,0.0000,0.0000,0.4742,2.8543,0.000,unity
1.5400,0.00000,1.0000,0.0000,2.98830,2.98830,3.79561,134.9,1.0000,0.2569,0.0000,0.4742,2.9140,0.000,unity
1.5600,0.00000,1.0000,0.0000,2.99883,2.99884,4.49968,0.0,1.0000,0.0000,0.0000,0.4742,2.9740,0.000,unity
1.5800,0.00000,1.0000,0.0000,3.01179,3.01179,3.82461,131.0,1.0000,0.2496,0.0000,0.4742,3.0342,0.000,unity
1.6000,0.00000,1.0000,0.0000,3.02369,3.02369,4.47054,0.0,1.0000,0.0000,0.0000,0.4742,3.0947,0.000,unity
1.6200,0.00000,1.0000,0.0000,3.03394,3.03394,3.85372,126.2,1.0000,0.2403,0.0000,0.4742,3.1554,0.000,unity
1.6400,0.00000,1.0000,0.0000,3.04738,3.04738,4.48026,0.0,1.0000,0.0000,0.0000,0.4742,3.2163,0.000,unity
1.6600,0.00000,1.0000,0.0000,3.05521,3.05521,3.88182,121.4,1.0000,0.2312,0.0000,0.4742,3.2774,0.000,unity
1.6800,0.00000,1.0000,0.0000,3.06862,3.06862,4.49468,0.0,1.0000,0.0000,0.0000,0.4742,3.3388,0.000,unity
1.7000,0.00000,1.0000,0.0000,3.07712,3.07712,3.90561,120.1,1.0000,0.2287,0.0000,0.4742,3.4003,0.000,unity
1.7200,0.00000,1.0000,0.0000,3.09079,3.09079,4.49808,0.0,1.0000,0.0000,0.0000,0.4742,3.4621,0.000,unity
1.7400,0.00000,1.0000,0.0000,3.09779,3.09779,3.93133,116.5,1.0000,0.2219,0.0000,0.4742,3.5240,0.000,unity
1.7600,0.00000,1.0000,0.0000,3.11131,3.11131,4.52988,0.0,1.0000,0.0000,0.0000,0.4742,3.5863,0.000,unity
1.7800,0.00000,1.0000,0.0000,3.11862,3.11862,3.95416,115.1,1.0000,0.2193,0.0000,0.4742,3.6486,0.000,unity
1.8000,0.00000,1.0000,0.0000,3.13233,3.13233,4.53188,0.0,1.0000,0.0000,0.0000,0.4742,3.7113,0.000,unity
1.8200,0.00000,1.0000,0.0000,3.13881,3.13881,3.97770,112.8,1.0000,0.2148,0.0000,0.4742,3.7740,0.000,unity
1.8400,0.00000,1.0000,0.0000,3.15254,3.15254,4.55185,0.0,1.0000,0.0000,0.0000,0.4742,3.8371,0.000,unity
1.8600,0.00000,1.0000,0.0000,3.15890,3.15890,3.99970,111.4,1.0000,0.2123,0.0000,0.4742,3.9002,0.000,unity
1.8800,0.00000,1.0000,0.0000,3.17276,3.17276,4.55519,0.0,1.0000,0.0000,0.0000,0.4742,3.9637,0.000,unity
1.9000,0.00000,1.0000,0.0000,3.17867,3.17867,4.02167,109.9,1.0000,0.2093,0.0000,0.4742,4.0273,0.000,unity
1.9200,0.00000,1.0000,0.0000,3.19259,3.19259,4.56432,0.0,1.0000,0.0000,0.0000,0.4742,4.0911,0.000,unity
1.9400,0.00000,1.0000,0.0000,3.19819,3.19819,4.04301,108.6,1.0000,0.2069,0.0000,0.4742,4.1551,0.000,unity
1.9600,0.00000,1.0000,0.0000,3.21219,3.21219,4.58058,0.0,1.0000,0.0000,0.0000,0.4742,4.2193,0.000,unity
1.9800,0.00000,1.0000,0.0000,3.21750,3.21750,4.06397,107.5,1.0000,0.2047,0.0000,0.4742,4.2837,0.000,unity
2.0000,0.00000,1.0000,0.0000,3.23154,3.23155,4.59763,0.0,1.0000,0.0000,0.0000,0.4742,4.3483,0.000,unity
2.0200,0.00000,1.0000,0.0000,3.23661,3.23661,4.08454,106.4,1.0000,0.2028,0.0000,0.4742,4.4130,0.000,unity
2.0400,0.00000,1.0000,0.0000,3.25070,3.25070,4.61523,0.0,1.0000,0.0000,0.0000,0.4742,4.4780,0.000,unity
2.0600,0.00000,1.0000,0.0000,3.25555,3.25555,4.10472,105.6,1.0000,0.2011,0.0000,0.4742,4.5431,0.000,unity
2.0800,0.00000,1.0000,0.0000,3.26966,3.26966,4.63354,0.0,1.0000,0.0000,0.0000,0.4742,4.6085,0.000,unity
2.1000,0.00000,1.0000,0.0000,3.27435,3.27435,4.12452,104.9,1.0000,0.1998,0.0000,0.4742,4.6740,0.000,unity
2.1200,0.00000,1.0000,0.0000,3.28847,3.28847,4.65180,0.0,1.0000,0.0000,0.0000,0.4742,4.7398,0.000,unity
2.1400,0.00000,1.0000,0.0000,3.29303,3.29303,4.14403,104.3,1.0000,0.1987,0.0000,0.4742,4.8057,0.000,unity
2.1600,0.00000,1.0000,0.0000,3.30714,3.30714,4.67078,0.0,1.0000,0.0000,0.0000,0.4742,4.8718,0.000,unity
2.1800,0.00000,1.0000,0.0000,3.31160,3.31161,4.16334,103.8,1.0000,0.1977,0.0000,0.4742,4.9380,0.000,unity
2.2000,0.00000,1.0000,0.0000,3.32566,3.32566,4.69158,0.0,1.0000,0.0000,0.0000,0.4742,5.0045,0.000,unity
2.2200,0.00000,1.0000,0.0000,3.33010,3.33010,4.18250,103.3,1.0000,0.1968,0.0000,0.4742,5.0711,0.000,unity
2.2400,0.00000,1.0000,0.0000,3.34404,3.34404,4.71423,0.0,1.0000,0.0000,0.0000,0.4742,5.1380,0.000,unity
2.2600,0.00000,1.0000,0.0000,3.34850,3.34851,4.20152,102.9,1.0000,0.1960,0.0000,0.4742,5.2050,0.000,unity
2.2800,0.00000,1.0000,0.0000,3.36229,3.36229,4.73804,0.0,1.0000,0.0000,0.0000,0.4742,5.2722,0.000,unity
2.3000,0.00000,1.0000,0.0000,3.36684,3.36684,4.22057,102.4,1.0000,0.1950,0.0000,0.4742,5.3396,0.000,unity
2.3200,0.00000,1.0000,0.0000,3.38040,3.38040,4.76214,0.0,1.0000,0.0000,0.0000,0.4742,5.4072,0.000,unity
2.3400,0.00000,1.0000,0.0000,3.38508,3.38508,4.23938,102.0,1.0000,0.1943,0.0000,0.4742,5.4749,0.000,unity
2.3600,0.00000,1.0000,0.0000,3.39842,3.39842,4.78550,0.0,1.0000,0.0000,0.0000,0.4742,5.5428,0.000,unity
2.3800,0.00000,1.0000,0.0000,3.40324,3.40324,4.25803,101.7,1.0000,0.1936,0.0000,0.4742,5.6109,0.000,unity
2.4000,0.00000,1.0000,0.0000,3.41636,3.41636,4.80679,0.0,1.0000,0.0000,0.0000,0.4742,5.6792,0.000,unity
2.4200,0.00000,1.0000,0.0000,3.42135,3.42135,4.27651,101.4,1.0000,0.1931,0.0000,0.4742,5.7477,0.000,unity
2.4400,0.00000,1.0000,0.0000,3.43429,3.43429,4.82415,0.0,1.0000,0.0000,0.0000,0.4742,5.8164,0.000,unity
2.4600,0.00000,1.0000,0.0000,3.43940,3.43940,4.29484,101.2,1.0000,0.1927,0.0000,0.4742,5.8851,0.000,unity
2.4800,0.00000,1.0000,0.0000,3.45228,3.45228,4.83579,0.0,1.0000,0.0000,0.0000,0.4742,5.9542,0.000,unity
2.5000,0.00000,1.0000,0.0000,3.45741,3.45741,4.31317,101.0,1.0000,0.1923,0.0000,0.4742,6.0233,0.000,unity
2.5200,0.00000,1.0000,0.0000,3.47037,3.47037,4.83950,0.0,1.0000,0.0000,0.0000,0.4742,6.0927,0.000,unity
2.5400,0.00000,1.0000,0.0000,3.47537,3.47537,4.33181,100.5,1.0000,0.1914,0.0000,0.4742,6.1622,0.000,unity
2.5600,0.00000,1.0000,0.0000,3.48859,3.48859,4.83323,0.0,1.0000,0.0000,0.0000,0.4742,6.2320,0.000,unity
2.5800,0.00000,1.0000,0.0000,3.49321,3.49321,4.35132,99.3,1.0000,0.1892,0.0000,0.4742,6.3019,0.000,unity
2.6000,0.00000,1.0000,0.0000,3.50685,3.50685,4.81694,0.0,1.0000,0.0000,0.0000,0.4742,6.3720,0.000,unity
2.6200,0.00000,1.0000,0.0000,3.51079,3.51079,4.37272,96.6,1.0000,0.1841,0.0000,0.4742,6.4422,0.000,unity
2.6400,0.00000,1.0000,0.0000,3.52477,3.52477,4.79675,0.0,1.0000,0.0000,0.0000,0.4742,6.5127,0.000,unity
2.6600,0.00000,1.0000,0.0000,3.52781,3.52781,4.39555,92.6,1.0000,0.1763,0.0000,0.4742,6.5833,0.000,unity
2.6800,0.00000,1.0000,0.0000,3.54197,3.54197,4.77889,0.0,1.0000,0.0000,0.0000,0.4742,6.6541,0.000,unity
2.7000,0.00000,1.0000,0.0000,3.54406,3.54406,4.41651,89.3,1.0000,0.1701,0.0000,0.4742,6.7250,0.000,unity
2.7200,0.00000,1.0000,0.0000,3.55876,3.55876,4.75380,0.0,1.0000,0.0000,0.0000,0.4742,6.7962,0.000,unity
2.7400,0.00000,1.0000,0.0000,3.55984,3.55984,4.43073,90.4,1.0000,0.1721,0.0000,0.4742,6.8674,0.000,unity
2.7600,0.00000,1.0000,0.0000,3.57678,3.57678,4.68456,0.0,1.0000,0.0000,0.0000,0.4742,6.9389,0.000,unity
2.7800,0.00000,1.0000,0.0000,3.57779,3.57779,4.37025,145.3,1.0000,0.2767,0.0000,0.4742,7.0105,0.000,unity
2.8000,0.00000,1.0000,0.0000,3.62740,3.62740,4.18153,312.1,1.0000,0.5945,0.0000,0.4742,7.0830,0.000,unity
2.8200,0.00000,1.0000,0.0000,3.70363,3.70363,3.56802,525.0,1.0000,1.0000,0.0000,0.4742,7.1572,0.000,unity
2.8400,0.00000,1.0000,0.0000,3.76047,3.76047,4.80772,0.0,1.0000,0.0000,0.0000,0.4742,7.2326,0.000,unity
2.8600,0.00000,1.0000,0.0000,3.78911,3.78911,4.14651,449.8,1.0000,0.8568,0.0000,0.4742,7.3084,0.000,unity
2.8800,0.00000,1.0000,0.0000,3.86743,3.86744,4.51956,243.5,1.0000,0.4638,0.0000,0.4742,7.3859,0.000,unity
2.9000,0.00000,1.0000,0.0000,3.90542,3.90543,4.88203,16.4,1.0000,0.0312,0.0000,0.4742,7.4642,0.000,unity
2.9200,0.00000,1.0000,0.0000,3.92390,3.92391,4.20585,502.6,1.0000,0.9574,0.0000,0.4742,7.5428,0.000,unity
2.9400,0.00000,1.0000,0.0000,3.99440,3.99441,4.83032,114.9,1.0000,0.2188,0.0000,0.4742,7.6228,0.000,unity
2.9600,0.00000,1.0000,0.0000,4.04926,4.04927,3.70490,525.0,1.0000,1.0000,0.0000,0.4742,7.7039,0.000,unity
