t,steering,throttle,brake,speed,speed_mag,x,y,z,yaw_deg,source
1.7200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.7400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.7600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.7800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.8000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.8200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.8400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.8600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.8800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.9000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.9200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.9400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.9600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.9800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.0000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.0400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.0600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.0800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.1000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.1200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.1400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.1600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.1800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.2000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.2200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.2400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.2600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.2800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.3000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.3200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.3400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.3600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.3800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.4000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.4200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.4400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.4600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.4800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.5000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.5200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.5400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.5600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.5800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
